Podcast Name,Episode Title,Date,Episode Description,Guess of Sponsorship,Matched Keyword
,,,,,
台灣通勤第一品牌,EP136 誰來守護八軌大錄音帶 ,"Fri, 03 Sep 2021 13:08:11 GMT","本集節目由【可樂娜 Corona Taiwan】贊助播出

🍻Corona 是全世界知名的墨西哥啤酒品牌，墨西哥人在喝龍舌蘭酒時會啜一口龍舌蘭酒再舔一下鹽巴及檸檬，檸檬酸度會讓龍舌蘭酒味更加香醇，加入一片檸檬在帶有果香之餘也更加清爽香甜。於是，很多人都會在 Corona 上放上一片檸檬搭配著喝。

🍋藉由按下青檸暢飲可樂娜，人們可以改變當下的環境或是跳脫當下的心情，無論在世界何處，都同樣能夠感受到可樂娜所帶來的濃郁奔放拉丁風情與南美隨興自在的文化，享受生活的真諦🤘 🤘 🤘

🛒指定通路活動：9/8家樂福、9/9大潤發與愛買　購買12瓶可樂娜，就送超chill抱枕一顆(隨機)

＊禁止酒駕 未滿十八歲者，禁止飲酒＊
#可樂娜 #青檸儀式 #ThisIsLiving #按下青檸放飛心情

",sponsored,贊助播出
台灣通勤第一品牌,EP137 左德右賽,"Tue, 07 Sep 2021 15:46:24 GMT","本集節目合作夥伴為【樂天國際銀行 – 新戶禮200元】

關於銀行帳戶，你還有更好的選擇！

🉑選擇樂天國際銀行，手機最快10分鐘線上申請🉑

🤗開戶+啟用提款卡➡200元現金回饋你🤗

◾ 新戶領200元，開戶請進：https://pros.is/3jxezf 

◾ 活動詳情請看：https://pros.is/3m7hmd

 
✨帳戶優勢總複習：

💰 高利率：活存、定存年利率都1% 。存多少都可以，金額無上限！

💰 網購回饋無上限：2021/9/30前，樂天帳戶轉帳付款，在樂天市場網購回饋10%限時點數。購物無低消、回饋無上限！

💰 線上大額轉帳：免跑分行，「全線上」即可約定大額轉帳，一天可匯出300萬元！資金進出享便利!

💰 手續費減免：開戶就享每月跨行轉帳、提款最多各8次免手續費。到日本領日幣也有8次免手續費！(為解封的日本行暖身)
",not_sponsored,no keyword found
台灣通勤第一品牌,EP138 最佳素人新演員,"Mon, 13 Sep 2021 08:53:21 GMT","本集節目由【Dcard 】贊助播出

高速成長的環境，你絕不該缺席！
加入我們 👉🏻 dcard.link/K3L82d 

我們是充滿熱情的跨國團隊，
專注在社群 / 電商 / 廣告 / 影音 / 海外市場等不同產品領域。

不止步於台灣社群取得影響力，
Dcard 正全力擴張版圖，發展新型業務！

在快速前進的產業，我們期待更多優秀的工程師、電商廣告、海外市場等人才加入我們，
一起完成有趣兼具挑戰性的專案及企劃，創造新世代的社群服務！

成為 Dcard 的一份子，和我們一起改變世界 🚀


",sponsored,贊助播出
台灣通勤第一品牌,EP139 協力創作者,"Fri, 17 Sep 2021 08:24:13 GMT","本集節目由【一卡通】贊助播出

我這不是來了嗎？

通勤時間必備單品：台灣通勤第一品牌週年紀念版一卡通

週年紀念版 $168
巨大化鮮蝦挺版 $169
兩款各1000張

2021.9.17（五）17:00 準時上線

一卡通商城 https://sho.pe/3mzkn8
蝦皮24小時商城 https://sho.pe/3p36e5

*單一帳號7日內不分款式共限購4張

祝各位中秋佳節愉快
",sponsored,贊助播出
台灣通勤第一品牌,EP140 就這樣被你征服,"Fri, 24 Sep 2021 05:48:24 GMT","好消息！好消息！ 微賀台通一點五週年
毫無懸念推出
前有刺繡ＬＯＧＯ ，後有巨型蝦體
太陽龍宮 Ｘ 台灣通勤第一品牌 紀念Ｔ
閃灰 稀釋黑 起笑白 三色同步發售中
https://myship.7-11.com.tw/general/detail/GM2109168760356
（此為預購商品，預計首批出貨日10/15，感謝耐心等候）
",not_sponsored,no keyword found
台灣通勤第一品牌,EP141 看清,"Tue, 28 Sep 2021 02:32:03 GMT","本集節目由 【𝟸𝟶𝟸𝟷 高雄電影節 Kaohsiung Film Festival 】贊助播出
☞ 𝟸𝟶𝟸𝟷 @高雄電影節 Kaohsiung Film Festival
☞ 𝟷𝟶.𝟷𝟻 - 𝟷𝟶.𝟹𝟷 #一鍵登入 謎幻樂園
☞ 早鳥優惠搶購期間：10.02 12:00 - 10.14 23:59

#線上看雄影 #KFFgoonline

2021 #高雄電影節 於10月15日到10月31日舉行，10月2日中午12點線上、實體同步開賣，除部分作品實體放映，也和國際線上平台shift72、 INVR合作打造線上影展以及沈浸式展演「XR無限幻境」主題單元，在家只要「一鍵登入」，就可在線上收看高雄電影節精彩作品！

更多影展消息請關注高雄電影節官網  https://www.kff.tw/TW 

以及 @高雄電影節 Kaohsiung Film Festival粉專。
",sponsored,贊助播出
台灣通勤第一品牌,EP142 前面右轉的第二排架子上,"Fri, 01 Oct 2021 14:41:54 GMT","本集節目由【蘇格登12年單一麥芽威士忌醇雪莉】贊助播出

跟大家推薦最親切、隨和的國民威士忌～蘇格登12年醇雪莉。不管是朋友同事家庭，想要聚餐小酌一下的時候，無論搭配台式中式西式日式韓式，重口味或是清淡料理，蘇格登12年醇雪莉，都是你佐餐聚會的最佳搭配首選。

層次豐富、醇順好喝的蘇格登12年醇雪莉，最適合大夥天南地北輕鬆聊時，慢慢地喝、順順地喝，很家常很隨性地，分享兄弟之間才懂、才有的各種回憶趣事。就像老朋友一樣，無論是過去、現在到未來，陪伴無數人生時光。

有蘇格登12年醇雪莉在的場合，保證充滿歡樂與笑聲，讓每個人都能盡情享受歡聚時刻！

加入蘇格登單一麥芽威士忌粉絲團：  
https://www.facebook.com/thesingletontw 

加入蘇格登單一麥芽威士忌官方LINE好友 : @diageo.malts

[禁止酒駕，未滿18歲禁止飲酒]

",sponsored,贊助播出
台灣通勤第一品牌,EP143 火烤就是美味,"Mon, 04 Oct 2021 13:42:40 GMT","本集節目由【Lexus CPO原廠認證中古車】贊助播出 
 購入Lexus中古車，找Lexus CPO最安心！ 
✓ 7大類188項原廠品質認證檢驗 
✓ 14天購車鑑賞期 
✓ 免費代步車貼心服務 
✓ 業界首創Hybrid電池2年保固 
✓ 2年或4萬公里售後保固服務  
【免費貼心售後服務】 回廠贈送定期保養一次，6/1起更加碼贈送尊享交車禮： 原廠機油免費及輪胎電瓶優惠券  
【抽獎活動現正進行中】 前往Lexus官方IG ＠lexus_taiwan， 於10/17前追蹤並留言私訊官方帳號：「Lexus CPO 只要您 懂享受」 即可參加抽獎，抽Lexus LC500遙控車乙台 將於10/20於官方IG STORY公布5名得獎者  
安心購入Lexus CPO快到官網了解：https://pse.is/3j5cgl  
前往Lexus IG參加留言活動抽LC500遙控車：https://pse.is/3grszf  
 #Lexus CPO #Lexus原廠認證中古車 #只要您懂享受 #定格完美重現經典
",sponsored,贊助播出
台灣通勤第一品牌,EP144 此處應有本,"Fri, 08 Oct 2021 14:32:16 GMT","本集節目由 全家便利商店【Let’s Café】贊助播出

Let’s Café單品咖啡 ＼烏干達月亮山／ 新風味推出！

有熱帶水果熟成香氣、核果香韻，口感厚實滑順，甜感明顯！

每個溫度有不同的風味變化，快來喝喝看！

全台全家都可以買到喔～

▲了解更多單品咖啡：https://bit.ly/3BbZo0u 

▲優惠資訊：https://bit.ly/3Fatsw9 

▲每月6號「好咖日」，單品咖啡買6送6

鎖定全家APP隨買跨店取：https://bit.ly/2Wvq1to 

",sponsored,贊助播出
